# Active universe: NIFTY 50 + NIFTY Next 50 + NIFTY Midcap 100
# Source: official NSE/Nifty Indices constituent CSV downloaded from niftyindices.com
# FYERS-tradable list excludes official dummy constituents that FYERS history rejects: NIFTYNEXT50:DUMMYVEDL1, NIFTYNEXT50:DUMMYVEDL2, NIFTYNEXT50:DUMMYVEDL3, NIFTYNEXT50:DUMMYVEDL4
# Columns: symbol,fyers_symbol,company,sector,basket,notes
symbol,fyers_symbol,company,sector,basket,notes
ADANIENT,NSE:ADANIENT-EQ,Adani Enterprises Ltd.,Metals & Mining,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
ADANIPORTS,NSE:ADANIPORTS-EQ,Adani Ports and Special Economic Zone Ltd.,Services,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
APOLLOHOSP,NSE:APOLLOHOSP-EQ,Apollo Hospitals Enterprise Ltd.,Healthcare,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
ASIANPAINT,NSE:ASIANPAINT-EQ,Asian Paints Ltd.,Consumer Durables,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
AXISBANK,NSE:AXISBANK-EQ,Axis Bank Ltd.,Financial Services,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
BAJAJ-AUTO,NSE:BAJAJ-AUTO-EQ,Bajaj Auto Ltd.,Automobile and Auto Components,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
BAJFINANCE,NSE:BAJFINANCE-EQ,Bajaj Finance Ltd.,Financial Services,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
BAJAJFINSV,NSE:BAJAJFINSV-EQ,Bajaj Finserv Ltd.,Financial Services,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
BEL,NSE:BEL-EQ,Bharat Electronics Ltd.,Capital Goods,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
BHARTIARTL,NSE:BHARTIARTL-EQ,Bharti Airtel Ltd.,Telecommunication,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
CIPLA,NSE:CIPLA-EQ,Cipla Ltd.,Healthcare,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
COALINDIA,NSE:COALINDIA-EQ,Coal India Ltd.,Oil Gas & Consumable Fuels,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
DRREDDY,NSE:DRREDDY-EQ,Dr. Reddy's Laboratories Ltd.,Healthcare,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
EICHERMOT,NSE:EICHERMOT-EQ,Eicher Motors Ltd.,Automobile and Auto Components,NIFTY50,Official NSE index constituent source=ind_nifty50list.csv; FYERS-tradable universe excludes dummy constituents
